2018-10-31 16:35:37.571 | INFO  | 33656 | --- [           main] | com.beisun.vmscloud.VmsJhkServiceApplicationTests            | The following profiles are active: dev
2018-10-31 16:35:37.608 | INFO  | 33656 | --- [           main] | o.s.web.context.support.GenericWebApplicationContext         | Refreshing org.springframework.web.context.support.GenericWebApplicationContext@25bcd0c7: startup date [Wed Oct 31 16:35:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@455b6df1
2018-10-31 16:35:38.803 | INFO  | 33656 | --- [           main] | o.springframework.beans.factory.xml.XmlBeanDefinitionReader  | Loading XML bean definitions from file [E:\vms\vms-cloud\vms-jhk-service\target\classes\config\spring\applicationContext-datasource000000.xml]
2018-10-31 16:35:39.060 | INFO  | 33656 | --- [           main] | o.springframework.beans.factory.xml.XmlBeanDefinitionReader  | Loading XML bean definitions from file [E:\vms\vms-cloud\vms-jhk-service\target\classes\config\spring\applicationContext-datasource120000.xml]
2018-10-31 16:35:39.165 | INFO  | 33656 | --- [           main] | o.springframework.beans.factory.xml.XmlBeanDefinitionReader  | Loading XML bean definitions from file [E:\vms\vms-cloud\vms-jhk-service\target\classes\config\spring\applicationContext-datasource130000.xml]
2018-10-31 16:35:39.231 | INFO  | 33656 | --- [           main] | o.springframework.beans.factory.xml.XmlBeanDefinitionReader  | Loading XML bean definitions from file [E:\vms\vms-cloud\vms-jhk-service\target\classes\config\spring\applicationContext-datasource330000.xml]
2018-10-31 16:35:39.263 | INFO  | 33656 | --- [           main] | o.springframework.beans.factory.xml.XmlBeanDefinitionReader  | Loading XML bean definitions from file [E:\vms\vms-cloud\vms-jhk-service\target\classes\config\spring\applicationContext.xml]
2018-10-31 16:35:39.574 | INFO  | 33656 | --- [           main] | o.s.beans.factory.support.DefaultListableBeanFactory         | Overriding bean definition for bean 'mvcContentNegotiationManager' with a different definition: replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]]
2018-10-31 16:35:39.576 | INFO  | 33656 | --- [           main] | o.s.c.annotation.ConfigurationClassBeanDefinitionReader      | Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2018-10-31 16:35:39.576 | INFO  | 33656 | --- [           main] | o.s.beans.factory.support.DefaultListableBeanFactory         | Overriding bean definition for bean 'mvcHandlerMappingIntrospector' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.handler.HandlerMappingIntrospector]; scope=; abstract=false; lazyInit=true; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=true; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=mvcHandlerMappingIntrospector; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]]
2018-10-31 16:35:39.758 | INFO  | 33656 | --- [           main] | o.s.beans.factory.support.DefaultListableBeanFactory         | Overriding bean definition for bean 'org.springframework.transaction.config.internalTransactionAdvisor' with a different definition: replacing [Root bean: class [org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration; factoryMethodName=transactionAdvisor; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/transaction/annotation/ProxyTransactionManagementConfiguration.class]]
